#RPLIDAR SCAN DATA
#COUNT=530
#Angule	Distance	Quality
191.7609 287.0 188
192.0465 288.0 188
193.3429 288.0 188
193.9966 290.0 188
194.7766 291.0 188
195.0732 292.0 188
195.9796 292.0 188
196.2653 293.0 188
196.6718 295.0 188
198.0890 295.0 188
197.8748 297.0 188
198.7811 298.0 188
199.5612 299.0 188
200.6049 301.0 188
200.5115 302.0 188
201.4178 304.0 188
201.8408 305.0 188
202.5000 308.0 188
203.4009 309.0 188
203.8074 311.0 188
204.4830 312.0 188
205.3894 314.0 188
206.2958 316.0 188
206.4661 318.0 188
206.7462 321.0 188
207.7789 323.0 188
208.4326 325.0 188
209.3555 327.0 188
209.3884 329.0 188
209.9213 332.0 188
211.0913 333.0 188
211.3715 324.0 188
212.1515 339.0 188
212.6843 332.0 188
216.2494 300.0 188
217.5458 295.0 188
217.8424 290.0 188
218.8861 285.0 188
220.4187 279.0 188
220.5890 275.0 188
221.2646 270.0 188
222.8082 266.0 188
223.4674 262.0 188
223.2642 259.0 188
225.0604 255.0 188
225.6042 251.0 188
225.5109 248.0 188
228.1860 245.0 188
227.8564 241.0 188
229.5264 238.0 188
230.1855 235.0 188
230.8557 232.0 188
231.0260 230.0 188
232.4487 227.0 188
231.2292 224.0 188
233.5309 222.0 188
233.2013 220.0 188
234.8712 218.0 188
235.5304 216.0 188
234.9481 213.0 188
235.6238 213.0 188
237.5464 201.0 188
238.2001 200.0 188
238.8702 200.0 188
238.6670 203.0 188
240.2161 203.0 188
240.8698 201.0 188
241.5289 199.0 188
242.1991 198.0 188
242.2321 196.0 188
243.1549 195.0 188
244.1821 194.0 188
244.8578 193.0 188
245.5115 191.0 188
246.1871 191.0 188
246.8408 190.0 188
247.5110 189.0 188
248.1702 187.0 188
248.8403 186.0 188
249.4995 186.0 188
250.1697 185.0 188
250.8234 184.0 188
251.4825 183.0 188
252.1527 182.0 188
252.8119 182.0 188
253.4821 181.0 188
254.1357 180.0 188
254.8114 180.0 188
255.4651 179.0 188
256.1353 179.0 188
256.7944 178.0 188
257.4646 178.0 188
258.1238 177.0 188
258.7939 177.0 188
259.4531 177.0 188
260.1233 176.0 188
261.0297 176.0 188
261.4526 175.0 188
262.1063 175.0 188
262.7655 175.0 188
263.4192 175.0 188
264.0894 174.0 188
264.7485 174.0 188
265.4022 174.0 188
266.0614 174.0 188
266.9843 174.0 188
267.3853 173.0 188
268.0444 174.0 188
268.6981 174.0 188
269.3738 173.0 188
270.0275 174.0 188
270.6866 173.0 188
271.3403 174.0 188
272.0105 174.0 188
272.6697 174.0 188
273.3234 174.0 188
273.9825 174.0 188
